NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures
NCT07041801,Treatment of Systemic Lupus Erythematosus With Human Umbilical Cord Mesenchymal Stem Cells,https://clinicaltrials.gov/study/NCT07041801,,RECRUITING,This study will investigate the safety and efficacy of allogeneic umbilical cord-derived stem cell therapy in treating patients with moderate to severe systemic lupus erythematosus.,NO,Systemic Lupus Erythematosus (SLE),DRUG: hUC-MSCs treatment (low dose)|BIOLOGICAL: hUC-MSCs treatment (medium dose)|BIOLOGICAL: hUC-MSCs treatment (high dose)|DRUG: Placebo|BIOLOGICAL: hUC-MSCs treatment （Double dose）,"Incidence of Treatment-Emergent Adverse Events, Analysis for the primary endpoint will be descriptive in nature. safety and tolerability will be measured by the number of AEs and SAEs observed. Adverse event incidents will be summarized descriptively. The severity grade of each recorded AE, and their relationship to study treatment will be analyzed. The action taken and outcome will also be analyzed accordingly., day 1 to day 28","Efficacy Endpoint, The proportion of subjects whose SLEDAI-2000 score (a scale for assessing the disease activity of systemic lupus erythematosus) decreased by ≥ 4 points Total score ranging from 0 to 105.

Interpretation: Scores are categorized to indicate disease activity:

0: No activity 1-5: Mild activity 6-10: Moderate activity 11-19: High activity

≥20: Very high activity

Improvement is defined as a decrease in score., The 24th week after administration of the test drug.",
NCT07041788,Iparomlimab and Tuvonralimab Combined With SFRT and Definitive Chemoradiotherapy in Locoregionally Advanced Bulky HNSCC,https://clinicaltrials.gov/study/NCT07041788,,NOT_YET_RECRUITING,"Study Objectives

1. Primary Objective:

   The core aim of this study is to investigate whether the sequential approach of Spatially Fractionated Radiotherapy followed by 3 cycles of induction chemotherapy combined with Iparomlimab and Tuvonralimab, definitive chemoradiotherapy, and maintenance therapy with the Iparomlimab and Tuvonralimab can improve the 2-year event-free survival (EFS) rate in patients with locoregionally advanced bulky head and neck squamous cell carcinoma (HNSCC).
2. Secondary Objectives:s

To analyze the impact of this integrated treatment regimen on key efficacy endpoints, including:

Objective response rate (ORR), Duration of response (DoR), Distant metastasis-free survival (DMFS), Local region recurrence-free survival (LRRFS), Overall survival (OS)。 2. Study Endpoints

(1) Primary Endpoint and Definition: 2-Year Event-Free Survival (EFS) Rate (2) Secondary Endpoints and Definitions:

1. 2-Year Overall Survival (OS) Rate
2. 2-Year Distant Metastasis-Free Survival (DMFS) Rate.
3. 2-Year Local Region Recurrence-Free Survival (LRRFS) Rate.
4. Objective Response Rate (ORR).
5. Duration of Response (DoR).
6. Quality of Life (QoL):

   Assessed across multiple domains:

   Physical Function: Measured via tools like the 6-minute walk test or ADL (Activities of Daily Living) scale.

   Psychological Status: Evaluated using instruments such as HAMD (Hamilton Anxiety and Depression Scale) or MMSE (Mini-Mental State Examination).

   Social Function: Assessed via social engagement questionnaires (e.g., HAQ-DI \[Health Assessment Questionnaire-Disability Index\]).

   Spiritual Well-being: Evaluated using tools like PIL (Purpose in Life test). Clinically meaningful improvements in these domains before and after treatment define successful QoL endpoints (e.g., positive changes in physical, psychological, social, and spiritual health in cardiac patients).
7. Safety:

   The nature and severity of adverse reactions associated with the treatment.
8. Tolerability:

The degree to which patients can endure treatment-related side effects.",NO,Cancer,DRUG: Iparomlimab and Tuvonralimab Injection,"2-year EFS (Event - Free Survival), Event-Free Survival (EFS) rate: Defined as the time from enrollment to the occurrence of the first event among any of the following: disease progression (including local progression and distant metastasis), recurrence (i.e., reappearance of the tumor after treatment in cancer patients), death from any cause, etc. In other words, it represents the survival duration during the observation period when patients do not experience these predefined ""events""., 2 years","2 - year Overall Survival (OS) rate, 2 - year Overall Survival (OS) rate: It refers to the proportion of patients who have not died from any cause within the two - year time frame starting from the enrollment. In various cancer clinical trials, regardless of whether the patient's death is caused by cancer itself or other comorbidities (such as infections, failure of other organs, etc.), the time from enrollment to death is defined as OS., 2 years|2 - year Distant Metastasis - Free Survival (DMFS) rate, 2 - year Distant Metastasis - Free Survival (DMFS) rate: It refers to the proportion of patients whose disease has not developed distant metastasis within the two - year time frame starting from the enrollment. For example, in a clinical study of colorectal cancer, the focus is on the probability of patients surviving without distant organ metastases such as those in the liver and lungs., 2 years|2 - year Local Region Recurrence - Free Survival (LRRFS) rate, 2 - year Local Region Recurrence - Free Survival (LRRFS) rate: It refers to the proportion of patients who experience no recurrence in the primary tumor site and its surrounding local regions within the two - year time frame starting from enrollment. For instance, in head and neck tumors, the survival probability of patients without tumor recurrence in the primary tumor site of the head and neck, adjacent lymph nodes, and other local regions after treatment represents LRRFS., 2 years|Overall Response Rate (ORR), Overall Response Rate (ORR): Refers to the proportion of patients whose tumor volume reduction meets predetermined criteria and is maintained for a minimum duration. It typically includes cases of complete response (CR, defined as disappearance of all target lesions) and partial response (PR, defined as a ≥30% reduction in the sum of the longest diameters of target lesions), in accordance with RECIST V1.1 criteria., 2 years|Duration of Response (DoR), Duration of Response (DoR): Defined as the time from achieving an objective response (including complete response and partial response) to disease progression or recurrence. For example, in lung cancer targeted therapy, once a patient's tumor shrinkage meets the criteria for partial response following treatment, DoR is the period spanning from this time point until the tumor re-grows or new lesions appear (i.e., disease progression occurs)., 2 years|Safety(treatment-related toxicity and adverse reactions), Adverse events (treatment toxicity) will be evaluated using NCI-CTCAE version 5.0. Assessments occur at baseline, during treatment, and through final follow-up to monitor safety profiles., 2 years|Patients' Quality of Life, Based on the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire ( EORTC QLQ-H\&N35) scores., 2 years",
NCT07041775,MINT Conditioning to Improve Gait,https://clinicaltrials.gov/study/NCT07041775,,NOT_YET_RECRUITING,This study will test the ability of myoelectric interface for neurorehabilitation (MINT) training to improve walking function.,NO,Stroke|Stroke Gait Rehabilitation,OTHER: myoelectric interface for neurorehabilitation (MINT) conditioning|OTHER: One muscle myoelectric feedback,"10-m walk test, The 10-m walk test measures gait speed, Baseline and 4 weeks","6-min walk test, The 6-min walk test measures the distance subjects can walk in 6 min. It measures endurance., Baseline and week 4|10-m walk test, The 10-m walk test measures gait speed, Baseline and week 8|6-min walk test, The 6-min walk test measures the distance subjects can walk in 6 min. It measures endurance., Baseline and week 8|MINT performance, The mean weighted time-to-target over trials., each training session|Target muscle co-activation, The co-activation (correlation) between the targeted muscles daily during training and in the lab sessions during the evaluation times., Baseline and weeks 4 and 8",
NCT07041762,Rhomboid Intercostal Block With Sub-Serratus Plane Block Versus Erector Spinae Block,https://clinicaltrials.gov/study/NCT07041762,RISS-ESPB,RECRUITING,"This study compares two nerve block techniques-Rhomboid Intercostal with Sub-Serratus Plane Block versus Erector Spinae Plane Block-for pain relief after breast cancer surgery. It aims to determine which method provides better postoperative pain control, reduces opioid use, and improves recovery in patients undergoing modified radical mastectomy at the National Cancer Institute, Cairo University.",NO,Breast Cancer Patients,PROCEDURE: Rhomboid Intercostal Block with Sub-Serratus Plane Block|PROCEDURE: Erector Spinae Plane Block,"Postoperative Pain Scores, Postoperative pain will be assessed using the Visual Analog Scale (VAS) both at rest (static) and during movement (dynamic). Assessments will be conducted at 2, 6, 12, and 24 hours following surgery. The VAS is a 10-centimeter scale, where 0 indicates ""no pain"" and 10 indicates the ""worst imaginable pain."" Unit of Measure: VAS score (0-10), First 24 hours postoperatively|Total Opioid Consumption, The total amount of opioid analgesics administered within the first 24 postoperative hours will be recorded for each patient. All opioid dosages will be converted to intravenous morphine equivalents for standardization.

Unit of Measure: Milligrams of intravenous morphine equivalents (mg), First 24 hours postoperatively",,
NCT07041749,Microneedling Alone Versus Microneedling Coupled With Either Bleomycin or 5flourouracil in the Treatment of Plantar Warts,https://clinicaltrials.gov/study/NCT07041749,plantar warts,NOT_YET_RECRUITING,"To compare between the efficacy and safety of microneedling alone, microneedling with topical bleomycin and microneedling with 5-flurouracil in treatment of planter warts.

Microneedling will be performed on each wart using dermapen supplied with 12 needles arranged in rows. Topical anesthetic cream will be applied for 60 min before the procedures. Microneedling will be performed on each wart using dermapen. The penetration depth will be adjusted at 2-mm, endpoint is pinpoint bleeding and the dermapen will be held by the hand in a vertical direction on the warts.

Bleomycin is typically supplied in 15 U vials. The preparation will be diluted first with 7 mL normal saline ,double the amount taken from the vial by adding the same amount lidocaine (2%), so that the concentrations become 1 U/mL . The maximum total amount of bleomycin taken to each patient in one session will be 1 U/1 mL . Microneedling will be performed on the lesion using a microneedling pen type device with a 1-cm tip diameter at a 2-mm depth setting for 2-3 minutes until pinpoint bleebing occurs 1 mL of the prepared solution of bleomycin (1 U/1 mL) will be dropped on to the wart tissue using insulin syringe and occlusion will be applied for 3 hours.

5-FU is available in 10 mL vial: 500 mg/10 mL. Application of 5-FU solution will be done by dropping using an insulin syringe (1 mL)to help dropping of the solution on the warts surface. Then, the lesion will be occluded with a plaster for 3 h.

Sessions: Sessions will be performed every 2 weeks until complete cure or for maximum 6 sessions (total 3 month)",NO,Warts of Foot,DRUG: Bleomycin|DEVICE: Microneedling alone|DRUG: 5 fluorouracil,"The primary outcome is the clinical response, specifically the decrease in the size of warts as measured by a ruler., The response is categorized as:

Complete response: Disappearance of the wart and return of normal skin markings.

Partial response: 50% to 99% reduction in wart size.

No or minimal response: 0% to 49% decrease in wart size, 2 years","Recurrence rate, The appearance of new wart lesions at the treated sites after complete remission during the three-month follow-up period is recorded as recurrence, 2 years",
NCT07041736,Evaluating Postoperative Pain and Antibacterial Effect of Ultrasonic and 980 nm Diode Laser Combination,https://clinicaltrials.gov/study/NCT07041736,Postoperative,NOT_YET_RECRUITING,"This study is a parallel randomized controlled clinical trial that was designed and interpreted according to Preferred Reporting Items for Randomized Trial in Endodontics (PRIRATE) 2020 guidelines. Patients of age range between 20 and 35 years old from the outpatient clinic of Endodontic Department, Faculty of Dental Medicine for Girls, Al-Azhar University will participate in this study. These patients have single rooted teeth with necrotic pulp and periapical radiolucency. Patients will be informed about all the study's procedures. They will be included in the study after fulfilling the inclusion criteria and sign an informed consent.Inclusion Criteria:

* Patients have mature teeth with closed apex.
* Single rooted teeth with root canal form type I.
* Asymptomatic.
* Have Periapical radiolucency with diameter up to 5 mm.
* Restorable teeth.

Exclusion Criteria:

* Patients with symptomatic apical periodontitis.
* Systemic disease.
* Physical or mental disability.
* Root fracture and tooth mobility.",NO,Post Operative Pain,DEVICE: diode laser|OTHER: conventional irrigation|DEVICE: Diode laser|DEVICE: Ultrasonic,"Postoperative pain evaluation, Postoperative pain will be recorded using numerical rating scale (NRS) with minimum value 0 and maximum value 10 (worst pain)., after 24,48 and 72hours of the treatment","Microbiological analysis, Microbiological analysis of samples (S1\&S2) will be performed to evaluate the percentage of reduction in the number of Colony Forming Units (CFU) of aerobic and anaerobic bacteria., 24,48 hours",
NCT07041723,"BiOfeedback, Online for Sibilant Treatment",https://clinicaltrials.gov/study/NCT07041723,BOOST,NOT_YET_RECRUITING,"The goal of this clinical trial is to evaluate the efficacy of sibilant biofeedback treatment delivered via telepractice in six children ages 8:0-17;11 who present with distortions of /s/. The main questions it aims to answer are:

* Primary hypothesis: Biofeedback treatment for sibilants delivered via telepractice will produce positive gains compared to a no-treatment baseline phase.
* Secondary hypothesis: Participants will experience positive changes in social-emotional well-being after receiving biofeedback treatment for sibilants as reported by the participants and their guardians.

Following the initial evaluation, participants will be randomly assigned to transition from baseline to treatment at one of seven possible points, ranging from 4-10 baseline sessions in which /s/ production will be probed but not treated. All participants will then receive 20, 1-hour biofeedback treatment sessions over 10 weeks with a certified Speech-Language Pathologist via teletherapy, followed by three maintenance sessions.",NO,Speech Sound Disorder,BEHAVIORAL: Visual-acoustic biofeedback for Sibilants,"Perceptually rated accuracy of /s/ production, To assess generalization of perceptual training to production, participants will be assessed with standard probes administered in the first three baseline sessions , at the start of each treatment session and in three post-treatment maintenance sessions. Probes will elicit 60 words \[considered the primary target\], containing /s, z/ in various phonetic contexts. Stimuli in each probe will be presented individually in randomized order. No auditory models will be provided; for children with reading difficulty, semantic cues will be provided to elicit the intended word. Individual words will be isolated from the audio record of each word probe and presented in randomized order for binary rating (correct/incorrect) by 4 trained listeners who are blind to treatment condition and time point (but will see the written representation of each target word). The proportion of ""correct"" ratings for each token will be used as the measure of perceptually rated accuracy., Standard word probes will be elicited at baseline and post treatment (after 20 weeks).","Survey evaluating impacts of treatment on participants' socio-emotional well-being, This 11-item survey, which asks parents to report the impact of speech disorder on the child's social, emotional, and academic well-being, was validated in a published study by members of the research team. An impact score, calculated as described in the research team's previous research, will be used as the primary measure of socio-emotional well-being., The survey will be administered at baseline and post-treatment (after 20 weeks).",
NCT07041710,Rehabilitation of Taste and Smell Disorders Associated With Chemotherapy Using Aromatherapy,https://clinicaltrials.gov/study/NCT07041710,AGORA,RECRUITING,"Changes in taste and smell can occur during chemotherapy treatment. These chemotherapy-related side effects can negatively impact patients' quality of life and diet.

The aim of this research is therefore to propose a solution to alleviate these taste and smell disorders. Based on the same principle as rehabilitation proposed for anosmia (loss of smell) related to COVID-19, we hypothesize that olfactory rehabilitation (using the sense of smell) through the odorous properties of essential oils could be effective for chemotherapy-related taste and smell alterations.",NO,Cancer,OTHER: experimental in day hospital|OTHER: taste and smell disorders questionnaire,"difference in scores between 6 months and the inclusion at ""taste and smell disorders"" questionnaire, taste and smell disorders home-made questionnaire (score from 0 to 100), 6 months",,
NCT07041697,LED Photobiomodulation Improves Radial Artery Vascular Function in Vitro,https://clinicaltrials.gov/study/NCT07041697,LED,COMPLETED,"LED photobiomodulation therapy (PBMT) is widely recognized for its beneficial effects in several clinical conditions; however, its potential in modulating vascular function is not yet fully established. Objective: This study aimed to evaluate the application of PBMT by LED (light-emittion diode) using a combined red and near-infrared light spectrum, with a focus on improving the vascular function of the radial artery in vitro. Methodology: A total of 30 radial artery segments were studied and divided into three groups of 10 segments: the PBMT LED group combined with red and infrared light (R + IR), the red light (R) group, and the infrared light (IR) group. Prior to light irradiation at wavelengths of 650 nm and 940 nm, vascular function in these segments was pharmacologically inhibited using L-NAME. The drugs phenylephrine, acetylcholine, and sodium nitroprusside were used to determine if irradiation could restore the inhibited vascular functions. Superoxide anion levels, an important reactive oxygen specie (ROS), were measured using a chemiluminescence assay with lucigenin. The bioavailability of nitric oxide was evaluated using a Griess Reagent Kit assay, while nitric oxide production was assessed through the DAF fluorescence assay. The vascular inflammation was determined by the Intercellular Adhesion Molecule 1 (ICAM-1) expression.",NO,Vascular Dysfunction,DEVICE: Light-emitting diode photobiomodulation therapy,"Diameter of Isolated Radial Artery Rings (2 mm), Description of Primary Outcome Measure(s):

The primary outcome of this study is the evaluation of vascular compliance during vasodilation of isolated radial artery rings (2 mm in diameter), with a specific focus on the effects of LED photobiomodulation on arterial function., 12 months","Evaluation of reactive oxygen species (ROS), Superoxide anion (O₂--) generation, a key reactive oxygen species (ROS), will be measured in arterial tissue from the R + IR, R, and IR groups using a lucigenin-enhanced chemiluminescence assay. Lucigenin will serve as the electron acceptor, and nicotinamide adenine dinucleotide phosphate (NADPH) as the substrate. Results will be expressed as a percentage of concentration., 12 months",
NCT07041684,Microbiota and Lipedema Evaluation in Obese Patient Treated With Very Low Energy Ketogenic Vegan Therapy,https://clinicaltrials.gov/study/NCT07041684,MLVLEKVT,COMPLETED,"Lipedema is a progressive, hereditary, multifactorial disease that occurs primarily in women, characterized by an abnormal and painful accumulation of subcutaneous fatty tissue. The etiology of lipedema is not entirely clear, but genetic, hormonal, vascular, and lymphatic factors have been implicated. Recent research suggests a potential role of the gut microbiota in the etiopathogenesis and progression of the disease, as alterations in gut microbial composition (dysbiosis) could contribute to chronic systemic inflammation and metabolic dysfunction that exacerbate the fat deposition typical of lipedema.

The condition is often associated with obesity, contributing to a state of chronic inflammation that exacerbates its progression. Among management strategies, Very Low Energy Ketogenic Therapy (VLEKT) has been proposed for its potential in improving inflammation and metabolism. VLEKT, an extremely low-calorie dietary regimen that induces ketosis through carbohydrate reduction, has been studied primarily for weight management, but the adoption of a plant-protein variant could offer additional benefits due to their anti-inflammatory properties resulting primarily from positive modulation of the gut microbiota.

The purpose of this study was to evaluate the effects of a plant protein-based ketogenic diet on the composition of the gut microbiota of obese patients with lipedema and to observe how it affected the symptoms of the condition. This experimental study analyzed anthropometric, metabolic, inflammatory parameters and the gut microbiota, as well as quality of life. The results obtained made it possible to evaluate the effectiveness of this dietary approach in the context of lipedema management, emphasizing the role of the gut microbiota and the anti-inflammatory properties of plant proteins. However, the single-center nature and limited number of participants represent limitations for generalizing the results.

Methods The present work is a prospective experimental study, in which a participant group consisting of 20 female individuals with lipedema were observed and offered plant protein-based VLEKT. Patients chosen to participate in the study were identified according to the following eligibility criteria: female subjects aged \>18 years with a diagnosis of clinical stage II-III lipedema and with prior dietary treatment.

The presence of any of the following conditions prevented their enrollment in the study: subjects without an indication for treatment or unable to undergo VLEKT treatment; pregnancy and lactation; treatment with drugs interfering with proper microbiota analysis; and male subjects.

Each subject participating in the study underwent an initial outpatient specialist examination, and through the medical history, the following data were collected: age, sex, general and pathological health condition, and hematochemical parameters paying attention especially to CRP, blood glucose, insulin, total and HDL cholesterol, and triglycerides. Anthropometric parameters were then taken, including: weight; height; waist circumference; hip circumference; right and left thigh circumference; right and left arm circumference; right and left calf circumference; and right and left ankle circumference.

Once the anthropometric data were recorded, body composition analysis was conducted, which allowed the assessment of parameters such as: total water (TBW); extracellular water (ECW); intracellular water (ICW); lean body mass (FFM); and fat mass (FM).

Each patient received a fecal sample extraction kit in order to perform gut microbiota analysis. The same data were collected again at the end of the study after 45 days.",NO,Lipedema|Obesity|Dysbiosis,DIETARY_SUPPLEMENT: Very Low Energy Ketogenic Therapy with vegan meal replacements,"20 partecipants with changes in anthropometric parameters, weight (kg); height (m); BMI - Body Mass Index (weight and height will be combined to report BMI in kg/m\^2) whose ranges are: underweight (\<18.5), normal weight (18.5-24.9), overweight (25-29.9), obesity (30 or more); waist circumference (cm); hip circumference (cm); right and left thigh circumference (cm); right and left arm circumference (cm); right and left calf circumference (cm); and right and left ankle circumference (cm)., From enrollment to the end of treatment at 45 days|20 partecipants with changes in blood count, From enrollment to the end of treatment at 45 days|20 partecipants with changes in blood glucose, total and HDL cholesterol, and triglycerides, blood glucose (mg/dL), total and HDL cholesterol (mg/dL), and triglycerides (mg/dL), From enrollment to the end of treatment at 45 days|20 partecipants with changes in c-reactive protein (CPR), CPR (mg/L), From enrollment to the end of treatment at 45 days|20 partecipants with changes in erythrocyte sedimentation rate (ESR), ESR (mm/h), From enrollment to the end of treatment at 45 days|20 partecipants with changes in insulin, insulin (µU/mL), From enrollment to the end of treatment at 45 days|20 partecipants with changes in HOMA-INDEX, HOMA-INDEX (threshold of 2.5), From enrollment to the end of treatment at 45 days|20 partecipants with changes in body water (Total Body Water, Extracellular Water, Intracellular Water) by means of bioimpedance analysis (Akern BIVA 101), Total Body Water (L), Extracellular Water (L), Intracellular Water (L), From enrollment to the end of treatment at 45 days|20 partecipants with changes in Free Fat Mass, Fat Mass, Body Cell Mass by means of bioimpedance analysis (Akern BIVA 101), Free Fat Mass (Kg), Fat Mass (Kg), Body Cell Mass (Kg), From enrollment to the end of treatment at 45 days|20 partecipants with changes in Skeletal Muscle Index by means of bioimpedance analysis (Akern BIVA 101), Skeletal Muscle Index (\>7,0 kg/m\^2 in men and \>5,7 kg/m\^2 in women), From enrollment to the end of treatment at 45 days|Short form of the McGill Pain Questionnaire (SF-MPQ), The main component of the SF-MPQ consists of 15 descriptors (11 sensory; 4 affective) which are rated on an intensity scale as 0 = none, 1 = mild, 2 = moderate or 3 = severe. Three pain scores are derived from the sum of the intensity rank values of the words chosen for sensory, affective and total descriptors. The SF-MPQ also includes the Present Pain Intensity (PPI) index of the standard MPQ and a visual analogue scale (VAS) from 0-100, where 100 is fort pain., From enrollment to the end of treatment at 45 days|EuroQoL 5D (EQ-5D), The EQ-5D consists of five questions (also known as dimensions (5D): mobility, selfcare, usual activities, pain/discomfort, anxiety/depression) with 5 levels (5L) of problem severity in the responses, as well as a Visual Analogue Scale (EQ-VAS) aiming to capture a respondents' rating of their 'health today' on a scale from 0-100, where 100 is better health condition., From enrollment to the end of treatment at 45 days",,
NCT07041671,Evaluation Viral RNA and Virus Infectivity in Exhaled Air Before and After Use of One Dose With ColdZyme Mouth Spray,https://clinicaltrials.gov/study/NCT07041671,,NOT_YET_RECRUITING,Many respiratory diseases spread through aerosols. ColdZyme is a mouth spray that protects against upper respiratory tract viruses causing common cold and flu-like symptoms. ColdZyme forms a protective moisturizing barrier on the mucous membrane of the oral cavity and throat. The objective of this study is assessing if ColdZyme could also contribute to decreased airborne transmission by decreasing the amount of (infectious) virus that is exhaled by an infected subject.,NO,URTI - Viral Upper Respiratory Tract Infection,DEVICE: ColdZyme,"Number of virus genome copies in exhaled aerosol, Reduction compared to baseline of virus RNA concentrations in exhaled aerosol particles after 1 dose treatment of ColdZyme in subjects in early phase and/or with early common cold/flu-like symptoms (Baseline = virus RNA concentrations in exhaled aerosol particles in untreated participant, i.e before using ColdZyme). RNA copy number is determined by qPCR., 20-60 minutes after inhalation of 1 dose treatment of ColdZyme","Infectivity of exhaled virus as quantified by TCID50 and MPN, Infectivity decrease of exhaled virus after 1 dose treatment of ColdZyme in subjects in early phase and/or with early common cold/flu-like symptoms, where the effect is measured in number of infectious virus. Infectivity is quantified by tissue culture infectious dose (TCID50) for screening of infectivity and most probable number MPN for more precise quantification., 20-60 minutes after inhalation of 1 dose treatment of ColdZyme",
NCT07041658,Nutritional Status of Critically Ill Children in Pediatric Intensive Care Units at Sohag University Hospitals,https://clinicaltrials.gov/study/NCT07041658,,NOT_YET_RECRUITING,"The goal of this observational study is to evaluate nutritional status of critically ill patients admitted to Pediatric Intensive Care Units (PICU) at Sohag University Hospital and its correlation with their outcome as regarding to need for mechanical ventilation, acquired infection, metabolic complications, and mortality.",NO,Pediatric Intensive Care Units,,"need for mechanical ventilation, one week following PICU admission|acquired infection, one week following PICU admission|mortality, one week following PICU admission",,
NCT07041645,Bioavailability of Different Vitamin K Vitamers Studied Using 13C-labelled Vitamin K Vitamers,https://clinicaltrials.gov/study/NCT07041645,BioMicro,NOT_YET_RECRUITING,"Objectives

The main objectives are:

Study part I: to investigate the bioavailability of vitamin K vitamers (PK, MK-4, MK-7 and MK-9) in humans using 13C-labelled compounds

Hypotheses Study part I: it is hypothesized that there is a difference between the bioavailability of the different vitamers, with MK-9 having the highest bioavailability followed by MK-7, and then PK, while MK-4 will have the lowest bioavailability.

Participants will:

Study part I: In the pilot study and study part I, participants will visit NEXS for a test period where a 6.5-hour test day will be carried out and followed up with two short visits on the 2 consecutive days. In the pilot study, there will be one test period with frequent blood sampling (before and after ingestion of a labelled vitamin K vitamer) and urine and faeces sampling. The minimum duration for each participant in the pilot study will be 2.5 weeks. After analyses of the bioavailability of the vitamin K vitamers in the pilot study, results will be used to determine the time points for biological sampling (mainly blood) in study part I. Study part I is a cross-over study with 4 test periods and washout periods in between. The minimum duration for each participant will be 6 weeks.",NO,Bioavailability of Vitamin K,DIETARY_SUPPLEMENT: Vitamin K,"13C-labelled vitamin K vitamers in blood samples, The area under the curve for the different 13C-labelled vitamin K vitamers will be compared from blood samples., from test day 1 until the end of the last washout period 5 weeks after test day 1.|13C-labelled vitamin K vitamers in fecal samples, The amount of 13C-labelled vitamin K vitamers in the feces will be analysed, from test day 1 until the end of the last washout period 5 weeks after test day 1.|13C-lebelled vitamin K vitamers in urine samples, The amount of 13C-labelled vitamin K vitamers in the urine will be analysed, from test day 1 until the end of the last washout period 5 weeks after test day 1.",,
NCT07041632,Pain Relief in Women Undergoing Oocyte Retrieval (OR) With Electro-acupuncture (EA) or Conscious Sedation (CS) in a Single Assisted Reproduction Centre.,https://clinicaltrials.gov/study/NCT07041632,EA,COMPLETED,This study aims to determine whether one can replace pain relief in women undergoing oocyte retrieval (OR) using electro-acupuncture (EA) instead of conscious sedation (CS).,NO,Pain Intensity Assessment,OTHER: electro-acupuncture|OTHER: Conscious sedation,"Pain relief during egg collection, Pain score 1 to 10 during egg collection in IVF compared between using acupuncture and conscious sedation, from start of egg collection. to 120 minutes after egg collection","Stress, satisfaction measurement and physical parameters between acupuncture and conscious sedation during egg collection in IVF, Stress score and satisfaction outcome scores 0 to 10 for pain relief between acupuncture and conscious sedation during egg collection were recorded. For the stress score, zero is equivalent to no stress and 10 indicates the worst possible stress. For the satisfaction score, zero is equivalent to no satisfaction at all and 10 is the highest satisfaction., Up to 120 minutes after egg collection",
NCT07041619,Subcutaneous Intersectional Short Pulse Stimulation in Epileptic Patients,https://clinicaltrials.gov/study/NCT07041619,,RECRUITING,"A subgaleal electrode-based system combined with the novel intersectional short-pulse (ISP) stimulation was developed to enable non-invasive, high-intensity neuromodulation. ISP consists of ultra-brief, distributed pulses to maximize electric field strength in target areas while minimizing adverse effects on non-target tissues. Early preclinical studies demonstrate its efficacy in disrupting pathological oscillations and reducing seizures in animal models. This study investigates how targeted electrical brain stimulation by ISP stimulation impacts brain activity in epilepsy patients. The research aims to determine if ISP stimulation delivered via electrodes placed outside and under the scalp can safely and effectively reduce seizure frequency and intensity. Participants include epilepsy patients who haven't responded adequately to medication and aren't eligible for surgery. By precisely tuning stimulation parameters and timing stimulation to specific seizure patterns detected by EEG monitoring, the study seeks to optimize this technique for therapeutic use. The goal is to establish safety and feasibility of this minimally invasive stimulation approach, as well as to achieve preliminary efficacy data thorugh the reduction of seizure durations.",NO,Epilepsy,DEVICE: Intersection short-pulse (ISP) stimulation,"Percentage of Automatically Detected Seizures Successfully Treated with Closed-loop Subgaleal ISP Stimulation [Feasibility], Intervention delivery rate (success rate of demonstrating the deliverability of the method as designed in the patient population, i.e. automatic seizure detection followed by ictal stimulation by subgaleal ISP stimulation), From enrollment to the end of treatment at maximum 12 weeks|Incidence and Severity of Treatment-Emergent Adverse Events of Subgaleal ISP stimulation [Safety], Frequency (number) and severity (graded mild, moderate, severe) of all adverse events experienced by each patient during the treatment period., From enrollment to the end of treatment at maximum 12 weeks|Level of Subjective Discomfort associated with of subgaleal ISP stimulation [Tolerability], Patient-reported subjective perception of stimulation intensity recorded on a Visual Analog Scale (VAS), ranging from 0 (no discomfort) to 10 (maximum discomfort). Higher scores indicate greater discomfort and worse tolerability., From enrollment to the end of treatment at maximum 12 weeks","Efficacy of seizure termination by subgaleal ISP stimulation, Percent decrease in average seizure duration between stimulated (i.e. treated) and non-stimulated (i.e. control) seizures, From enrollment to the end of treatment at maximum 12 weeks",
